result2.json {'Bleu_1': 0.6240125735854996, 'Bleu_2': 0.39604055349579054, 'Bleu_3': 0.23724721901935003, 'Bleu_4': 0.1357277676462078, 'CIDEr': 0.17186415025148344}
result2.json {'Bleu_1': 0.6240125735854996, 'Bleu_2': 0.39604055349579054, 'Bleu_3': 0.23724721901935003, 'Bleu_4': 0.1357277676462078, 'CIDEr': 0.17186415025148344}
result3.json {'Bleu_1': 0.6094171721760346, 'Bleu_2': 0.3742022460639454, 'Bleu_3': 0.21841330704406117, 'Bleu_4': 0.12253728715338677, 'CIDEr': 0.15951518756081373}
result3.json {'Bleu_1': 0.6094171721760346, 'Bleu_2': 0.3742022460639454, 'Bleu_3': 0.21841330704406117, 'Bleu_4': 0.12253728715338677, 'CIDEr': 0.15951518756081373}
result1(primary).json {'Bleu_1': 0.6376839482239166, 'Bleu_2': 0.41498612823817393, 'Bleu_3': 0.2575001717938534, 'Bleu_4': 0.15039781769011598, 'CIDEr': 0.18981957878876937}
result1(primary).json {'Bleu_1': 0.6376839482239166, 'Bleu_2': 0.41498612823817393, 'Bleu_3': 0.2575001717938534, 'Bleu_4': 0.15039781769011598, 'CIDEr': 0.18981957878876937}
result2.json {'Bleu_1': 0.6240125735854996, 'Bleu_2': 0.39604055349579054, 'Bleu_3': 0.23724721901935003, 'Bleu_4': 0.1357277676462078, 'CIDEr': 0.17186415025148344}
result2.json {'Bleu_1': 0.6240125735854996, 'Bleu_2': 0.39604055349579054, 'Bleu_3': 0.23724721901935003, 'Bleu_4': 0.1357277676462078, 'CIDEr': 0.17186415025148344}
result3.json {'Bleu_1': 0.6094171721760346, 'Bleu_2': 0.3742022460639454, 'Bleu_3': 0.21841330704406117, 'Bleu_4': 0.12253728715338677, 'CIDEr': 0.15951518756081373}
result3.json {'Bleu_1': 0.6094171721760346, 'Bleu_2': 0.3742022460639454, 'Bleu_3': 0.21841330704406117, 'Bleu_4': 0.12253728715338677, 'CIDEr': 0.15951518756081373}
result1(primary).json {'Bleu_1': 0.6376839482239166, 'Bleu_2': 0.41498612823817393, 'Bleu_3': 0.2575001717938534, 'Bleu_4': 0.15039781769011598, 'CIDEr': 0.18981957878876937}
result1(primary).json {'Bleu_1': 0.6376839482239166, 'Bleu_2': 0.41498612823817393, 'Bleu_3': 0.2575001717938534, 'Bleu_4': 0.15039781769011598, 'CIDEr': 0.18981957878876937}
